10
1;Neduri
2;Rodaajipewi
3;Uiatozoric
4;Yevufekuxaw
5;Kana
6;Jiobo
7;Lenur
8;Wowiwei
9;Peajopoji
10;Nenage
0,00;56,38;66,34;67,11;39,32;66,23;95,26;51,26;49,45;55,52
56,38;0,00;86,70;83,38;0,00;0,00;97,97;86,39;0,00;78,08
66,34;86,70;0,00;90,00;50,10;69,94;48,29;47,39;60,59;98,50
67,11;83,38;90,00;0,00;106,12;65,93;74,86;95,71;66,97;0,00
39,32;0,00;50,10;106,12;0,00;52,32;0,00;85,31;87,29;89,32
66,23;0,00;69,94;65,93;52,32;0,00;85,08;57,93;0,00;0,00
95,26;97,97;48,29;74,86;0,00;85,08;0,00;89,26;0,00;99,48
51,26;86,39;47,39;95,71;85,31;57,93;89,26;0,00;106,14;0,00
49,45;0,00;60,59;66,97;87,29;0,00;0,00;106,14;0,00;18,60
55,52;78,08;98,50;0,00;89,32;0,00;99,48;0,00;18,60;0,00
